Country,Country_Code,Year,FDI,GDP_Growth,Exports_pct_GDP,Imports_pct_GDP,Trade_Openness,FDI_log,Trade_Openness_log,FDI_log_scaled,GDP_Growth_scaled,Trade_Openness_log_scaled
Cambodia,KHM,2021,3483461606.0,3.08984284151994,72.3610346435508,73.8188118661646,146.1798465097154,22.806925581237167,4.991655284623302,-0.10386516787416548,-0.5135969806141801,0.4464031732642961
Cambodia,KHM,2022,3578831296.0,5.12990110767267,72.2070606780988,73.6665720833071,145.8736327614059,22.818726704332168,4.989572575996583,-0.09700378149225715,0.1058842379870486,0.4426401136006223
Cambodia,KHM,2023,3958792379.0,5.00733043812642,66.8926660552171,67.3141763407136,134.20684239593072,22.864407617876434,4.906805771765606,-0.07044407225250389,0.06866460117810907,0.29309618868620224
Cambodia,KHM,2024,4394647334.0,6.01581457354608,71.3635841655888,72.0834255374222,143.44700970301102,22.914360847031702,4.972912725438095,-0.04140036145488601,0.37489947275751034,0.4125389218951743
Indonesia,IDN,2000,-4550355286.0,4.9200677470169,40.9773084738704,30.4595674435027,71.4368759173731,0.6931471805599453,4.2827155055995005,-12.961215841151935,0.04216653535134564,-0.8345166117659285
Indonesia,IDN,2001,-2977391857.0,3.64346644721492,39.0321390955111,30.7610684301127,69.7932075256238,21.17622721281843,4.2597630571936245,-1.051982689231779,-0.34548441657986617,-0.8759873348765088
Indonesia,IDN,2002,145085548.7,4.49947539085764,32.6876208878375,26.3918408785348,59.0794617663723,22.26985784012956,4.09566804880011,-0.41612606502208016,-0.08554994689367396,-1.1724759071010573
Indonesia,IDN,2003,-596923827.8,4.78036912167654,30.4776547809661,23.1388389663355,53.6164937473016,22.09784976283832,4.000335920416803,-0.5161346717964899,-0.0002541523802683026,-1.3447229907156433
Indonesia,IDN,2004,1896082770.0,5.03087394501685,32.2166946182599,27.5446002184312,59.7612948366911,22.586793576144167,4.106952988176788,-0.23185389655771707,0.07581378930700254,-1.152086160964427
Indonesia,IDN,2005,8336257208.0,5.69257130383384,34.0672676279992,29.9206682408643,63.9879358688635,23.279454818428338,4.174201650651966,0.17087187596621592,0.27674387693542873,-1.0305805763858769
Indonesia,IDN,2006,4914201435.0,5.50095178520348,31.0347163143166,25.6224105005701,56.6571268148867,22.97081978723048,4.054513861188737,-0.00857411260565902,0.2185569639053528,-1.2468337224021546
Indonesia,IDN,2007,6928480000.0,6.34502222667214,29.4357184851264,25.3935314930811,54.8292499782075,23.16377076694172,4.0222979252038655,0.10361107637244721,0.47486620484305087,-1.3050418114631352
Indonesia,IDN,2008,9318453650.0,6.01370360009123,29.8082841673732,28.7531154639229,58.5613996312961,23.352908194334212,4.087007707057766,0.21357899706719405,0.3742584575326307,-1.1881235028646444
Indonesia,IDN,2009,4877369178.0,4.62887118256153,24.1591196686279,21.3530017000775,45.512121368705394,22.96692059651899,3.8397129532194065,-0.010841172599263578,-0.0462578031071321,-1.6349382427032149
Indonesia,IDN,2010,15292009411.0,6.22385418062366,24.2990309366408,22.4022429392329,46.701273875873696,23.71108512015842,3.864958103530856,0.42182953910289595,0.43807248670910887,-1.5893250418830758
Indonesia,IDN,2011,20564938227.0,6.16978420771008,26.3273530888836,23.8526600952268,50.1800131841104,23.946742800920664,3.935349088334392,0.5588451763907659,0.42165367492026345,-1.4621418765558787
Indonesia,IDN,2012,21200778608.0,6.03005065305615,24.5943787881769,24.9885195110858,49.5828982992627,23.97174449788277,3.92361354089045,0.5733816151415038,0.3792223806025071,-1.4833457860470423
Indonesia,IDN,2013,23281742362.0,5.5572636889101,23.9235763793605,24.7137962959288,48.6373726752893,24.049455783341205,3.9047440313629553,0.6185643618574466,0.23565655723987022,-1.5174394126183515
Indonesia,IDN,2014,25120732060.0,5.006668425755,23.6659845969367,24.414190988586,48.080175585522696,24.113438918639634,3.8934551973734486,0.6557653138070456,0.06846357543419733,-1.5378361955820499
Indonesia,IDN,2015,19779127977.0,4.87632230022123,21.1601792598059,20.7774609817235,41.9376402415294,23.914954754921972,3.7597488361555027,0.5403630315841169,0.02888285461592092,-1.7794182432198573
Indonesia,IDN,2016,4541713739.0,5.03306918280177,19.0889938536664,18.3323479486654,37.4213418023318,22.930668334966843,3.648613081309734,-0.031918893060686675,0.07648039211962045,-1.9802194839151326
Indonesia,IDN,2017,20510310832.0,5.06978590134916,20.1773044351106,19.17819263535,39.3554970704606,23.94456536706665,3.6977276201446743,0.5575791769707825,0.08762973913884549,-1.8914788230187465
Indonesia,IDN,2018,18909826044.0,5.17429153955024,21.0027464972455,22.0715624579547,43.0743089552002,23.87857040955363,3.7858770493226803,0.5192085152033218,0.11936377398364116,-1.7322095152240746
Indonesia,IDN,2019,24993551748.0,5.01928768046282,18.5915277970883,19.0362497386225,37.627777535710806,24.109143367862966,3.653971642942152,0.6532678029036716,0.07229552053789391,-1.9705375788826358
Indonesia,IDN,2020,19175077748.0,-2.06551182934165,17.3311682848923,15.6410071153504,32.9721754002427,23.889813433583523,3.525541818987052,0.5257454126959716,-2.0790647159302167,-2.2025859239741767
Indonesia,IDN,2021,21213080330.0,3.70288562827751,21.4165556390653,18.7882026359018,40.20475827496711,23.972222099553516,3.7185537417976327,0.5736593013899437,-0.32744127178167504,-1.8538499692570716
Indonesia,IDN,2022,24702029705.0,5.30719722664799,24.5029116862832,20.9617585096621,45.4646701959453,24.09922694552244,3.838692243081289,0.6475022156238162,0.15972172765994244,-1.6367824724239624
Indonesia,IDN,2023,21543358781.0,5.04902331835997,21.7538472039177,19.5824396668474,41.3362868707651,23.984960282000184,3.745644563957516,0.581065511024928,0.08132500244340372,-1.8049019892959062
Indonesia,IDN,2024,24107310607.0,5.03034469419038,22.18331286866,20.389334433174,42.572647301834,24.078686814822664,3.774429598022685,0.6355598121820832,0.07565307774676576,-1.7528928895983054
Lao PDR,LAO,2000,33890000.0,5.79878232861959,30.6620036016085,38.175297766224,68.8373013678325,22.245891324525864,4.24616827057621,-0.43006063061055827,0.30899576706758836,-0.9005505370930477
Lao PDR,LAO,2001,23904284.13,5.75141287983195,27.8731588735049,38.0262780063432,65.8994368798481,22.243710680418662,4.203190549757173,-0.43132849652980154,0.29461162699360127,-0.978203131208184
Lao PDR,LAO,2002,4451297.031,5.91874368370564,28.7525146642775,38.5023881880757,67.2549028523532,22.23944890463407,4.223249268149456,-0.43380637004198713,0.34542306312413984,-0.941960829659802
Lao PDR,LAO,2003,19484000.8,6.06700230344272,23.5004331627788,37.0716627200091,60.57209588278791,22.242743874669614,4.12020877899322,-0.4318906148762561,0.3904430666929923,-1.128135459895896
Lao PDR,LAO,2004,16917263.0,6.35769548008234,24.9121225651615,41.1676290571222,66.0797516222837,22.24218204771324,4.205882234239204,-0.4322172712289122,0.4787145471166264,-0.9733397676191928
