Country,Country_Code,Year,FDI,GDP_Growth,Exports_pct_GDP,Imports_pct_GDP,Trade_Openness
Brunei Darussalam,BRN,2000,549607250.0,3.47467625024112,56.9702963778436,30.0850369790491,87.0553333568927
Brunei Darussalam,BRN,2001,60694643.66,1.46606051123892,57.9295715893463,33.1702163265203,91.0997879158666
Brunei Darussalam,BRN,2002,229671955.7,3.96143911729992,56.6559739302734,36.5602074917746,93.216181422048
Brunei Darussalam,BRN,2003,123820911.1,3.58342892575843,58.4208886086276,30.664727455027,89.0856160636546
Brunei Darussalam,BRN,2004,113205867.0,0.104538440167488,57.7661849453707,27.1159814628356,84.8821664082063
Brunei Darussalam,BRN,2005,175068516.6,-0.0039251887198048,58.5718065853031,23.0483074928954,81.6201140781985
Brunei Darussalam,BRN,2006,87839128.31,4.09841260978121,60.1605717677988,21.4103827977614,81.5709545655602
Brunei Darussalam,BRN,2007,257635717.5,-3.76362347570418,56.9641140279522,24.047300540928,81.0114145688802
Brunei Darussalam,BRN,2008,222184549.5,-3.90071082085659,65.9431408995092,23.802284585175,89.7454254846842
Brunei Darussalam,BRN,2009,325586827.8,-1.90025386182131,59.7036048188459,30.5834832943224,90.2870881131683
Brunei Darussalam,BRN,2010,480722550.0,2.74136433514822,67.4082522735034,27.9632937990884,95.3715460725918
Brunei Darussalam,BRN,2011,691170270.0,3.74440638728039,69.5063427344544,30.0315881262525,99.53793086070691
Brunei Darussalam,BRN,2012,864905530.0,0.913135324414256,70.1597309958374,35.4811711495708,105.6409021454082
Brunei Darussalam,BRN,2013,775642000.0,-2.12478318620758,68.0441177749269,42.8954818041472,110.9395995790741
Brunei Darussalam,BRN,2014,573906207.8,-2.50788721630481,68.177101904531,34.2438991427387,102.4210010472697
Brunei Darussalam,BRN,2015,171289167.8,-0.392383487933529,52.2130112999105,37.6831770760633,89.8961883759738
Brunei Darussalam,BRN,2016,-150550827.3,-2.47791776520457,49.5777773330629,37.7420239181075,87.31980125117039
Brunei Darussalam,BRN,2017,467927550.3,1.32872651318183,49.5733065162321,35.6035538991208,85.1768604153529
Brunei Darussalam,BRN,2018,516202620.6,0.0523710544736673,51.9332397479681,41.9648219488274,93.89806169679551
