PC1,PC2,Country,Year
-0.6787410534670014,-0.24149543832802056,Brunei Darussalam,2000
-0.8097445344329361,-0.8363286357807086,Brunei Darussalam,2001
-0.5850726096908406,-0.11122304264443122,Brunei Darussalam,2002
-0.6772507294113481,-0.20715595386368013,Brunei Darussalam,2003
-0.9913831066972514,-1.2182519904463045,Brunei Darussalam,2004
-1.0421262317395326,-1.2401992554990415,Brunei Darussalam,2005
-0.7508963213721902,-0.028975902542668665,Brunei Darussalam,2006
-1.3187924581024413,-2.3479496101886137,Brunei Darussalam,2007
-1.2060940528414066,-2.417331641320189,Brunei Darussalam,2008
-1.0441641083094053,-1.831672234562711,Brunei Darussalam,2009
-0.6256276807114294,-0.48275165716522256,Brunei Darussalam,2010
-0.48353892985864283,-0.2037744976013627,Brunei Darussalam,2011
-0.6040000594403869,-1.0589457230487014,Brunei Darussalam,2012
-0.7721278435609119,-1.966883223190683,Brunei Darussalam,2013
-0.9137559955741118,-2.052560360871944,Brunei Darussalam,2014
-0.9522627641858241,-1.382665653287673,Brunei Darussalam,2015
-1.1683101525271218,-1.981633515143856,Brunei Darussalam,2016
-0.868565939211633,-0.8659946645054268,Brunei Darussalam,2017
-0.8382046712567007,-1.271505360727972,Brunei Darussalam,2018
-0.39326536427444686,-0.1857686050362078,Brunei Darussalam,2019
-0.5575849919308632,-1.0006556742990618,Brunei Darussalam,2020
-0.43044102418990393,-1.8801459465607284,Brunei Darussalam,2021
-0.4783856420090881,-1.8795595727408838,Brunei Darussalam,2022
-0.3437886990238234,-1.0519779086283543,Brunei Darussalam,2023
-0.1452939036829642,-0.14038480586576865,Brunei Darussalam,2024
0.05375314757769856,1.6199015272525508,Cambodia,2000
-0.11865580783010729,0.8482095226381865,Cambodia,2001
-0.13249661252162656,0.5006108970090352,Cambodia,2002
0.17521587351024528,1.6817384523730614,Cambodia,2003
0.22976885582512013,1.4110139098096859,Cambodia,2004
0.5514589429445284,2.534322440023138,Cambodia,2005
0.44873562696984753,1.8221068250913892,Cambodia,2006
0.37845578664006213,1.6680823868230517,Cambodia,2007
0.13048506597582415,0.8151209081299698,Cambodia,2008
-0.4082778443335164,-0.11889206769200472,Cambodia,2009
-0.21254535128157132,0.1467384556278774,Cambodia,2010
-0.04469495370451274,0.7962879157310041,Cambodia,2011
0.08575343676245387,0.8782412246304889,Cambodia,2012
0.18882370932818626,0.9184031069910835,Cambodia,2013
0.18180985131505606,0.9649131544108548,Cambodia,2014
0.09856963066459519,0.7371394307008481,Cambodia,2015
0.1944185177308586,0.9315354348427223,Cambodia,2016
0.2084720651215201,0.9807287180515167,Cambodia,2017
0.2541266255794302,1.1882128628949364,Cambodia,2018
0.18695431400673782,0.9417540480267712,Cambodia,2019
-0.5877120479581394,-2.4607384408749295,Cambodia,2020
0.1121228876953316,-0.5527100105352452,Cambodia,2021
0.26312776343526006,0.04797526662489104,Cambodia,2022
0.16962435275479515,0.031463568503921305,Cambodia,2023
0.34521732958253587,0.3041307873897417,Cambodia,2024
-9.44905597715595,2.4740004785280654,Indonesia,2000
-1.4062100239860227,-0.006402612953790815,Indonesia,2001
-1.1115645367727913,0.1814170086890167,Indonesia,2002
-1.2779943737118509,0.3099493921618602,Indonesia,2003
-0.9324404403212904,0.3020640421661645,Indonesia,2004
-0.5245568902667771,0.4059491821945456,Indonesia,2005
-0.8101716570680252,0.4164498428478749,Indonesia,2006
-0.7116605858210565,0.6548149712371306,Indonesia,2007
-0.5801049533250545,0.5186539776131672,Indonesia,2008
-1.1420765139997888,0.2229367934576035,Indonesia,2009
-0.697704188296971,0.6089356000465164,Indonesia,2010
-0.5203176080664805,0.5480275647757334,Indonesia,2011
-0.5351212650769095,0.5077144816064132,Indonesia,2012
-0.5620795869264689,0.3659012774362831,Indonesia,2013
-0.5907760577835512,0.20034178397079347,Indonesia,2014
-0.8454190556041756,0.2216702812770907,Indonesia,2015
-1.3643041642846838,0.40196488796111346,Indonesia,2016
-0.8965048475984295,0.29386657278456235,Indonesia,2017
-0.8057337242037279,0.30556543596370883,Indonesia,2018
-0.8889188772005266,0.27488061419845045,Indonesia,2019
-1.6528673114801808,-1.7529577751714644,Indonesia,2020
-0.9593811713148077,-0.11798567928405268,Indonesia,2021
-0.6425035148643892,0.306477764207499,Indonesia,2022
-0.8224233660530403,0.2695027966582541,Indonesia,2023
-0.7506868050397805,0.2458794374791213,Indonesia,2024
-0.8394252829204216,0.522618957641658,Lao PDR,2000
-0.8971143066734864,0.52151176129388,Lao PDR,2001
-0.861695310353683,0.5653756234688485,Lao PDR,2002
-0.977500638859011,0.6390143788182189,Lao PDR,2003
-0.8501339811814839,0.6995748057077651,Lao PDR,2004
-0.6929829727472793,0.8963311536928448,Lao PDR,2005
-0.4066416676423311,1.2999333082629436,Lao PDR,2006
-0.5117986555406776,1.0055593900943653,Lao PDR,2007
-0.4629063939956261,1.0653229438279492,Lao PDR,2008
-0.5549714396066745,0.9861280759515154,Lao PDR,2009
-0.3651377411411425,1.26112563847025,Lao PDR,2010
-0.30178881775239164,1.0937508472523516,Lao PDR,2011
-0.1934965766996311,1.063651597667959,Lao PDR,2012
-0.188678216240383,1.0624674897165542,Lao PDR,2013
-0.19399840416232378,0.9341427157725317,Lao PDR,2014
-0.3803210302918258,0.8712326802020731,Lao PDR,2015
-0.5720398256505966,0.8396926373193899,Lao PDR,2016
-0.5304071772320251,0.7880636904248424,Lao PDR,2017
-0.5990017251458168,0.6036543436882573,Lao PDR,2018
-0.6995449984109143,0.38182652960940155,Lao PDR,2019
