Cluster,FDI,GDP_Growth,Trade_Openness
0,5184981578.10044,3.5549269159806482,82.53020086037687
1,-4550355286.0,4.9200677470169,71.4368759173731
2,20094950019.124165,6.0970350006506395,191.09143923599666
